주력제품 해외 시장점유율(퍼센트),주력제품 국내 시장점유율(퍼센트),매출구조비율(중소기업),매출구조비율(글로벌),총자산회전율,자기자본비율,부채비율,순이익률,등록보유(특허권),창업 당시 창업자 최종학력,창업 당시 목표시장,기업성장단계,해외수출 및 진출과정 애로사항,Exit
0.0,12.0,0.0,0.0,128.58,32.737,205.467,0.763,8,3,3,3,3,0
0.0,30.0,88.0,0.0,30.798,48.677,105.436,6.802,1,3,1,2,8,0
0.1,2.0,58.0,2.0,201.483,42.603,134.726,3.865,2,3,1,2,1,0
0.0,0.01,64.0,0.0,113.041,29.851,234.993,-3.938,2,3,1,3,2,0
0.0,3.0,100.0,0.0,152.26,18.203,449.374,2.502,0,4,3,2,2,0
0.0,10.0,38.0,0.0,86.295,49.031,103.954,5.634,0,3,1,4,3,0
0.0,10.0,38.0,0.0,98.666,49.82,100.724,5.595,0,3,1,4,1,0
1.0,5.0,0.0,5.0,84.626,40.368,147.721,2.502,2,5,3,4,4,1
0.1,5.0,0.0,10.0,27.366,37.841,164.264,1.071,0,5,1,3,5,0
0.8,2.0,95.0,5.0,102.128,38.083,162.587,2.497,23,3,3,4,3,1
5.0,35.0,30.0,20.0,118.289,39.901,150.623,4.136,12,3,3,3,4,1
5.0,35.0,30.0,20.0,100.797,37.916,163.741,4.015,18,3,3,3,4,1
5.0,35.0,30.0,20.0,101.537,38.546,159.429,4.75,12,3,3,3,5,1
0.0,5.0,100.0,0.0,41.474,45.789,118.391,5.838,1,3,3,2,1,0
0.0,0.1,100.0,0.0,45.676,36.288,175.574,2.028,0,3,1,4,4,0
0.0,0.5,100.0,0.0,136.375,83.513,19.742,14.857,3,3,1,3,2,0
0.0,0.1,100.0,0.0,33.222,31.853,213.945,1.19,0,3,1,4,3,0
0.0,0.02,64.0,0.0,71.187,35.654,180.474,3.477,3,3,1,4,5,0
0.0,0.01,100.0,0.0,40.558,32.998,203.049,2.197,0,3,1,3,4,0
0.0,3.0,100.0,0.0,107.987,47.979,108.384,4.853,1,4,1,3,3,0
1.0,5.0,20.0,0.0,128.806,32.461,208.061,2.726,3,2,3,3,3,0
0.01,8.0,40.0,0.0,212.6,36.114,176.909,4.802,1,3,3,4,7,1
0.0,2.0,90.13,9.87,141.822,27.933,258.013,2.285,20,3,1,3,3,0
0.0,0.73,20.0,18.0,23.239,-294.118,-111.322,-1209.091,5,3,1,3,4,0
0.0,1.0,57.0,20.0,113.263,13.956,616.511,1.159,7,1,1,2,1,0
20.0,60.0,13.1,0.9,15.234,58.689,70.386,-185.607,11,2,3,2,2,1
10.0,15.0,65.0,20.0,114.699,56.615,76.635,0.819,6,5,1,4,5,1
0.0,5.0,0.0,30.0,51.708,11.484,770.777,10.702,3,1,3,1,2,0
1.0,20.0,70.0,1.0,20.559,27.424,264.643,8.097,9,3,3,4,3,0
0.0,3.0,30.0,0.0,4.428,26.226,281.299,-1252.308,0,1,3,3,1,0
0.05,2.0,30.0,40.0,142.824,38.576,159.226,2.653,3,1,3,2,3,0
0.0,5.0,87.0,0.0,112.969,73.178,36.653,10.596,5,2,1,3,3,0
0.0,0.1,50.0,0.0,35.173,48.94,104.333,7.081,21,1,1,3,4,0
0.01,0.2,78.0,10.0,37.08,92.798,7.761,17.747,12,1,3,3,8,0
0.01,0.01,0.0,5.0,39.913,43.712,128.771,7.112,12,1,3,2,4,0
0.1,7.0,80.0,1.2,32.081,35.537,181.398,15.481,20,1,3,3,4,0
1.0,7.0,60.0,22.0,66.883,65.659,52.303,10.441,18,1,3,3,7,0
0.0,0.01,0.0,0.0,65.954,34.212,192.298,0.944,0,3,1,4,3,0
0.01,10.0,20.0,40.0,337.461,58.233,71.725,6.524,2,2,3,3,2,0
0.01,0.5,40.0,20.0,59.357,93.559,6.884,32.682,35,2,3,4,3,1
0.0,10.0,100.0,0.0,21.182,4.304,2223.206,-57.268,7,3,3,2,1,0
0.0,0.01,0.0,0.0,65.801,34.199,192.403,3.307,0,3,1,3,2,0
0.0,8.0,0.0,0.0,121.684,20.958,377.143,2.341,0,3,1,2,1,0
0.2,20.0,0.0,20.0,40.557,37.773,164.742,9.181,6,2,3,4,3,0
0.0,0.5,100.0,0.0,6.367,34.551,189.431,-30.882,4,5,3,3,2,0
0.1,10.0,0.0,1.0,36.549,35.389,182.574,9.675,6,2,3,4,3,0
0.0,5.0,87.0,0.0,128.685,74.457,34.306,11.938,5,2,1,3,7,0
0.5,6.0,97.0,3.0,128.825,32.465,208.021,2.726,18,3,3,2,5,0
0.0,3.0,70.0,0.0,58.659,72.346,38.224,31.746,3,5,1,2,1,0
10.0,5.0,90.0,10.0,177.953,38.976,156.566,3.54,3,2,3,2,2,0
0.0,0.1,35.0,0.0,28.729,-13.496,-840.936,-40.934,2,3,3,3,3,0
0.01,20.0,18.0,6.0,74.206,34.307,191.481,2.226,11,1,3,3,7,0
0.01,0.2,78.0,10.0,59.453,69.772,43.325,26.389,11,1,3,3,8,0
1.0,10.0,50.0,10.0,93.14,10.562,846.779,0.421,3,3,1,4,3,0
0.0,1.0,0.0,0.0,44.086,-104.301,-195.876,-85.366,2,3,3,1,4,0
0.01,3.0,70.0,30.0,95.238,30.093,232.308,2.917,12,1,3,3,3,0
0.01,0.01,15.0,70.0,23.2,47.496,110.544,3.373,12,1,3,4,4,0
0.0,1.0,50.0,0.0,17.5,12.0,733.333,-45.714,2,3,3,3,3,0
0.05,2.0,30.0,40.0,90.276,47.823,109.105,2.572,3,1,3,2,3,0
0.0,3.0,70.0,0.0,62.078,59.649,67.647,20.217,4,5,1,2,1,0
0.0,10.0,60.0,0.0,90.714,11.726,752.791,2.967,4,3,1,4,3,0
0.0,10.0,60.0,0.0,79.091,10.269,873.849,1.248,3,3,1,4,3,0
0.5,2.0,30.0,40.0,118.145,50.614,97.574,4.792,6,1,3,3,3,0
0.01,0.01,0.0,5.0,38.934,51.087,95.743,11.61,12,1,3,4,4,0
0.25,10.0,0.0,20.0,47.447,47.122,112.217,12.133,6,2,3,4,4,0
0.0,0.1,34.0,0.0,20.413,-1.682,-6045.455,-64.045,2,3,3,3,6,0
10.0,0.01,36.0,1.0,63.641,14.16,606.203,-9.731,2,3,3,3,3,1
0.0,0.01,0.0,0.0,8.908,10.776,828.0,-291.935,2,3,3,2,7,0
0.0,5.0,87.0,0.0,147.132,64.561,54.891,11.688,5,2,1,3,4,0
0.01,0.2,78.0,10.0,35.15,92.548,8.052,17.97,11,1,3,3,8,0
0.01,3.0,70.0,0.0,49.777,-122.858,-181.395,-70.547,11,3,3,2,4,0
0.0,10.0,55.0,10.0,84.253,24.274,311.96,2.598,26,2,1,4,2,0
0.0,15.0,100.0,0.0,12.291,83.277,20.125,-376.061,4,2,1,2,7,0
0.0,5.0,90.0,0.0,109.66,17.007,488.0,1.861,0,3,3,3,1,0
0.6,0.8,97.0,3.0,102.124,60.028,66.588,9.388,3,2,1,3,4,1
15.0,20.0,80.0,0.0,39.244,97.162,2.921,20.195,5,1,3,3,5,1
0.0,5.0,100.0,0.0,66.869,23.544,324.742,3.085,12,3,2,4,2,0
0.1,10.0,75.0,1.0,266.046,54.03,85.083,7.707,14,5,3,3,2,0
0.0,0.01,100.0,0.0,16.754,20.497,388.024,-176.007,1,2,3,2,1,0
0.1,0.0,0.0,100.0,126.032,27.721,260.733,4.916,21,5,3,3,5,0
0.01,0.01,95.0,5.0,174.894,55.915,78.843,0.292,21,1,1,4,4,0
0.01,20.0,18.0,6.0,24.558,25.779,287.915,10.163,14,1,3,3,7,0
0.2,5.0,90.0,10.0,74.983,35.257,183.633,2.402,0,2,3,3,2,0
0.0,0.1,100.0,0.0,161.401,72.052,38.789,20.282,0,3,1,4,5,0
0.0,0.01,100.0,0.0,183.565,63.755,56.849,0.281,18,1,1,3,4,0
0.0,20.0,18.0,0.0,34.886,28.705,248.372,10.72,11,1,3,4,1,0
0.2,5.0,90.0,10.0,104.485,40.128,149.202,5.098,0,2,3,2,3,0
0.0,20.0,18.0,0.0,30.724,24.935,301.04,1.631,15,1,3,4,3,0
0.01,0.01,95.0,5.0,128.38,52.862,89.171,-9.614,19,1,1,4,4,0
0.5,10.0,0.0,20.0,46.247,50.173,99.312,7.743,3,3,3,3,5,0
30.0,10.0,30.0,30.0,39.555,49.046,103.889,5.473,3,3,3,2,3,0
0.0,0.1,100.0,0.0,127.508,65.875,51.804,15.855,0,3,1,4,5,0
0.0,14.48,10.0,0.0,89.192,29.613,237.695,11.406,0,3,1,3,3,0
0.01,10.0,10.0,0.0,60.553,62.135,60.94,20.682,0,1,3,4,2,1
